t,I,dI,a,da,y,dy
80.65,0.03656006,0.001,-12.22394615,0.0031415926535897933,-0.05482490548160761,3.945e-05
81.1,0.03643799,0.001,-12.22394615,0.0031415926535897933,-0.05482490548160761,3.945e-05
80.95,0.03697205,0.001,-12.22394615,0.0031415926535897933,-0.05482490548160761,3.945e-05
81.05,0.03665161,0.001,-12.22394615,0.0031415926535897933,-0.05482490548160761,3.945e-05
80.85,0.03701782,0.001,-12.22394615,0.0031415926535897933,-0.05482490548160761,3.945e-05
80.8,0.03683472,0.001,-12.22394615,0.0031415926535897933,-0.05482490548160761,3.945e-05
80.75,0.03688049,0.001,-12.22394615,0.0031415926535897933,-0.05482490548160761,3.945e-05
80.9,0.03695679,0.001,-12.22394615,0.0031415926535897933,-0.05482490548160761,3.945e-05
80.15,0.03988647,0.001,-12.21844835,0.0031415926535897933,-0.054755867820167906,3.945e-05
80.1,0.03994751,0.001,-12.21295056,0.0031415926535897933,-0.054686830284301394,3.945e-05
80.05,0.04090881,0.001,-12.20156228,0.0031415926535897933,-0.05454382395103709,3.945e-05
80.0,0.04196167,0.001,-12.1893886,0.0031415926535897933,-0.054390955094709995,3.945e-05
79.95,0.04324341,0.001,-12.17957112,0.0031415926535897933,-0.05426767380757129,3.945e-05
79.9,0.04376221,0.001,-12.16975363,0.0031415926535897933,-0.054144392394859395,3.945e-05
79.85,0.04467773,0.001,-12.15875805,0.0031415926535897933,-0.0540063173231264,3.945e-05
79.8,0.04495239,0.001,-12.14854787,0.0031415926535897933,-0.0538781047744563,3.945e-05
79.75,0.04621887,0.001,-12.13205449,0.0031415926535897933,-0.053670992041283686,3.945e-05
79.7,0.04632568,0.001,-12.11241952,0.0031415926535897933,-0.053424429341433086,3.945e-05
79.65,0.04640198,0.001,-12.09278455,0.0031415926535897933,-0.053177866641582486,3.945e-05
79.6,0.04568481,0.001,-12.07314959,0.0031415926535897933,-0.052931304067305104,3.945e-05
79.55,0.0440979,0.001,-12.05390732,0.0031415926535897933,-0.0526896726289859,3.945e-05
79.5,0.04266357,0.001,-12.03702124,0.0031415926535897933,-0.052477628634281806,3.945e-05
